latitude,longitude
-13.598318,-57.977921
-13.596073,-57.984656
-13.596073,-57.982411
-13.596073,-57.980166
-13.596073,-57.977921
-13.596073,-57.971186
-13.596073,-57.968941
-13.596073,-57.966696
-13.596073,-57.964451
-13.596073,-57.962206
-13.596073,-57.959961
-13.596073,-57.957716
-13.593828,-57.986901
-13.593828,-57.984656
-13.593828,-57.982411
-13.593828,-57.980166
-13.593828,-57.977921
-13.593828,-57.971186
-13.593828,-57.968941
-13.593828,-57.966696
-13.593828,-57.964451
-13.593828,-57.962206
-13.593828,-57.959961
-13.593828,-57.957716
-13.593828,-57.950981
-13.593828,-57.948736
-13.593828,-57.946491
-13.593828,-57.944246
-13.591583,-57.986901
-13.591583,-57.984656
-13.591583,-57.982411
-13.591583,-57.980166
-13.591583,-57.977921
-13.591583,-57.959961
-13.591583,-57.957716
-13.591583,-57.950981
-13.591583,-57.948736
-13.591583,-57.946491
-13.591583,-57.937511
-13.591583,-57.935266
-13.591583,-57.933021
-13.591583,-57.926286
-13.591583,-57.924041
-13.589338,-57.946491
-13.589338,-57.937511
-13.589338,-57.935266
-13.589338,-57.933021
-13.589338,-57.926286
-13.589338,-57.924041
-13.589338,-57.921796
-13.589338,-57.919551
-13.589338,-57.917306
-13.589338,-57.915061
-13.587093,-57.971186
-13.587093,-57.968941
-13.587093,-57.966696
-13.587093,-57.926286
-13.587093,-57.924041
-13.587093,-57.921796
-13.587093,-57.919551
-13.587093,-57.917306
-13.587093,-57.915061
-13.584848,-57.977921
-13.584848,-57.971186
-13.584848,-57.968941
-13.584848,-57.966696
-13.584848,-57.964451
-13.584848,-57.962206
-13.584848,-57.959961
-13.584848,-57.957716
-13.584848,-57.921796
-13.584848,-57.919551
-13.584848,-57.917306
-13.582603,-57.984656
-13.582603,-57.982411
-13.582603,-57.980166
-13.582603,-57.977921
-13.582603,-57.971186
-13.582603,-57.968941
-13.582603,-57.966696
-13.582603,-57.964451
-13.582603,-57.962206
-13.582603,-57.959961
-13.582603,-57.957716
-13.582603,-57.950981
-13.582603,-57.948736
-13.582603,-57.946491
-13.582603,-57.944246
-13.582603,-57.942001
-13.580358,-57.991391
-13.580358,-57.989146
-13.580358,-57.986901
-13.580358,-57.984656
-13.580358,-57.982411
-13.580358,-57.980166
-13.580358,-57.977921
-13.580358,-57.962206
-13.580358,-57.959961
-13.580358,-57.957716
-13.580358,-57.950981
-13.580358,-57.948736
-13.580358,-57.946491
-13.580358,-57.944246
-13.580358,-57.942001
-13.580358,-57.939756
-13.580358,-57.937511
-13.580358,-57.935266
-13.578113,-57.993636
-13.578113,-57.991391
-13.578113,-57.989146
-13.578113,-57.986901
-13.578113,-57.984656
-13.578113,-57.982411
-13.578113,-57.980166
-13.578113,-57.977921
-13.578113,-57.950981
-13.578113,-57.948736
-13.578113,-57.946491
-13.578113,-57.944246
-13.578113,-57.942001
-13.578113,-57.939756
-13.578113,-57.937511
-13.578113,-57.928531
-13.578113,-57.926286
-13.578113,-57.924041
-13.578113,-57.921796
-13.578113,-57.919551
-13.575868,-57.991391
-13.575868,-57.989146
-13.575868,-57.986901
-13.575868,-57.984656
-13.575868,-57.982411
-13.575868,-57.980166
-13.575868,-57.977921
-13.575868,-57.971186
-13.575868,-57.968941
-13.575868,-57.942001
-13.575868,-57.939756
-13.575868,-57.928531
-13.575868,-57.926286
-13.575868,-57.924041
-13.575868,-57.921796
-13.575868,-57.919551
-13.573623,-57.989146
-13.573623,-57.986901
-13.573623,-57.984656
-13.573623,-57.982411
-13.573623,-57.980166
-13.573623,-57.977921
-13.573623,-57.968941
-13.573623,-57.966696
-13.573623,-57.964451
-13.573623,-57.962206
-13.573623,-57.959961
-13.573623,-57.957716
-13.573623,-57.930776
-13.573623,-57.928531
-13.573623,-57.926286
-13.573623,-57.924041
-13.573623,-57.921796
-13.573623,-57.919551
-13.571378,-57.984656
-13.571378,-57.982411
-13.571378,-57.980166
-13.571378,-57.977921
-13.571378,-57.966696
-13.571378,-57.964451
-13.571378,-57.962206
-13.571378,-57.959961
-13.571378,-57.957716
-13.571378,-57.955471
-13.571378,-57.948736
-13.571378,-57.921796
-13.571378,-57.919551
-13.569133,-57.984656
-13.569133,-57.982411
-13.569133,-57.980166
-13.569133,-57.977921
-13.569133,-57.975676
-13.569133,-57.964451
-13.569133,-57.962206
-13.569133,-57.959961
-13.569133,-57.957716
-13.569133,-57.955471
-13.569133,-57.946491
-13.569133,-57.944246
-13.569133,-57.942001
-13.566888,-57.975676
-13.566888,-57.939756
-13.566888,-57.984656
-13.566888,-57.982411
-13.566888,-57.980166
-13.566888,-57.977921
-13.566888,-57.973431
-13.566888,-57.957716
-13.566888,-57.955471
-13.566888,-57.946491
-13.566888,-57.944246
-13.566888,-57.942001
-13.566888,-57.930776
-13.566888,-57.928531
-13.564643,-57.984656
-13.564643,-57.982411
-13.564643,-57.980166
-13.564643,-57.977921
-13.564643,-57.975676
-13.564643,-57.973431
-13.564643,-57.971186
-13.564643,-57.968941
-13.564643,-57.946491
-13.564643,-57.944246
-13.564643,-57.942001
-13.564643,-57.939756
-13.564643,-57.930776
-13.564643,-57.928531
-13.564643,-57.926286
-13.564643,-57.924041
-13.564643,-57.921796
-13.562398,-57.984656
-13.562398,-57.982411
-13.562398,-57.980166
-13.562398,-57.939756
-13.562398,-57.933021
-13.562398,-57.930776
-13.562398,-57.928531
-13.562398,-57.926286
-13.562398,-57.924041
-13.562398,-57.921796
-13.560153,-57.959961
-13.560153,-57.957716
-13.560153,-57.955471
-13.560153,-57.930776
-13.560153,-57.928531
-13.560153,-57.926286
-13.560153,-57.924041
-13.557908,-57.959961
-13.557908,-57.957716
-13.557908,-57.955471
-13.557908,-57.946491
-13.555663,-57.959961
-13.555663,-57.957716
-13.555663,-57.955471
-13.555663,-57.946491
-13.555663,-57.944246
-13.555663,-57.942001
-13.555663,-57.834241
-13.555663,-57.831996
-13.555663,-57.829751
-13.553418,-57.948736
-13.553418,-57.946491
-13.553418,-57.944246
-13.553418,-57.942001
-13.553418,-57.935266
-13.553418,-57.933021
-13.553418,-57.834241
-13.553418,-57.831996
-13.553418,-57.829751
-13.553418,-57.827506
-13.553418,-57.825261
-13.551173,-57.944246
-13.551173,-57.942001
-13.551173,-57.935266
-13.551173,-57.933021
-13.551173,-57.926286
-13.551173,-57.834241
-13.551173,-57.831996
-13.551173,-57.829751
-13.551173,-57.827506
-13.551173,-57.825261
-13.548928,-57.935266
-13.548928,-57.926286
-13.548928,-57.825261
-13.546683,-57.926286
-13.542193,-57.820771
-13.539948,-57.840976
-13.539948,-57.838731
-13.539948,-57.836486
-13.539948,-57.820771
-13.539948,-57.818526
-13.537703,-57.840976
-13.537703,-57.838731
-13.537703,-57.836486
-13.537703,-57.834241
-13.537703,-57.818526
-13.537703,-57.816281
-13.535458,-57.843221
-13.535458,-57.840976
-13.535458,-57.838731
-13.535458,-57.836486
-13.535458,-57.834241
-13.535458,-57.831996
-13.533213,-57.843221
-13.533213,-57.840976
-13.533213,-57.838731
-13.533213,-57.836486
-13.533213,-57.834241
-13.533213,-57.831996
-13.533213,-57.829751
-13.530968,-57.818526
-13.530968,-57.816281
-13.530968,-57.814036
-13.530968,-57.811791
-13.530968,-57.809546
-13.526478,-57.845466
-13.526478,-57.843221
-13.526478,-57.840976
-13.526478,-57.838731
-13.524233,-57.845466
-13.524233,-57.843221
-13.524233,-57.840976
-13.524233,-57.825261
-13.524233,-57.816281
-13.524233,-57.814036
-13.521988,-57.847711
-13.521988,-57.845466
-13.521988,-57.843221
-13.521988,-57.840976
-13.521988,-57.825261
-13.521988,-57.816281
-13.483823,-57.854446
-13.483823,-57.852201
-13.483823,-57.849956
-13.481578,-57.854446
-13.481578,-57.852201
-13.481578,-57.849956
-13.481578,-57.847711
-13.481578,-57.840976
-13.481578,-57.838731
-13.481578,-57.836486
-13.481578,-57.834241
-13.481578,-57.827506
-13.481578,-57.825261
-13.481578,-57.823016
-13.481578,-57.820771
-13.479333,-57.854446
-13.479333,-57.852201
-13.479333,-57.849956
-13.479333,-57.847711
-13.479333,-57.840976
-13.479333,-57.838731
-13.479333,-57.836486
-13.479333,-57.834241
-13.479333,-57.827506
-13.479333,-57.825261
-13.479333,-57.823016
-13.479333,-57.820771
-13.477088,-57.852201
-13.477088,-57.849956
-13.477088,-57.847711
-13.477088,-57.838731
-13.477088,-57.836486
-13.477088,-57.834241
-13.477088,-57.825261
-13.477088,-57.823016
-13.477088,-57.820771
-13.477088,-57.818526
-13.474843,-57.852201
-13.474843,-57.849956
-13.474843,-57.847711
-13.474843,-57.838731
-13.474843,-57.836486
-13.474843,-57.834241
-13.474843,-57.825261
-13.474843,-57.823016
-13.474843,-57.820771
-13.474843,-57.818526
-13.472598,-57.852201
-13.472598,-57.849956
-13.472598,-57.847711
-13.472598,-57.845466
-13.472598,-57.838731
-13.472598,-57.836486
-13.472598,-57.834241
-13.472598,-57.831996
-13.472598,-57.825261
-13.472598,-57.823016
-13.472598,-57.820771
-13.472598,-57.818526
-13.470353,-57.838731
-13.470353,-57.836486
-13.470353,-57.834241
-13.470353,-57.831996
-13.470353,-57.825261
-13.470353,-57.823016
-13.470353,-57.820771
-13.470353,-57.818526
-13.468108,-57.823016
-13.468108,-57.820771
-13.468108,-57.818526
-13.391778,-57.854446
-13.391778,-57.847711
-13.391778,-57.845466
-13.389533,-57.854446
-13.389533,-57.847711
-13.389533,-57.845466
-13.389533,-57.834241
-13.387288,-57.863426
-13.387288,-57.856691
-13.387288,-57.854446
-13.387288,-57.847711
-13.387288,-57.845466
-13.387288,-57.843221
-13.387288,-57.827506
-13.387288,-57.825261
-13.387288,-57.823016
-13.387288,-57.820771
-13.385043,-57.856691
-13.385043,-57.847711
-13.385043,-57.845466
-13.385043,-57.843221
-13.385043,-57.825261
-13.385043,-57.823016
-13.385043,-57.820771
-13.382798,-57.843221
-13.382798,-57.825261
-13.382798,-57.823016
-13.380553,-57.867916
-13.380553,-57.865671
-13.380553,-57.825261
-13.380553,-57.823016
-13.378308,-57.867916
-13.378308,-57.865671
-13.378308,-57.858936
-13.378308,-57.856691
-13.378308,-57.854446
-13.378308,-57.852201
-13.378308,-57.823016
-13.376063,-57.867916
-13.376063,-57.865671
-13.376063,-57.858936
-13.376063,-57.856691
-13.376063,-57.854446
-13.376063,-57.852201
-13.376063,-57.849956
-13.376063,-57.847711
-13.376063,-57.845466
-13.376063,-57.843221
-13.376063,-57.840976
-13.376063,-57.823016
-13.373818,-57.867916
-13.373818,-57.858936
-13.373818,-57.856691
-13.373818,-57.854446
-13.373818,-57.852201
-13.373818,-57.849956
-13.373818,-57.847711
-13.373818,-57.845466
-13.373818,-57.843221
-13.373818,-57.840976
-13.373818,-57.829751
-13.371573,-57.867916
-13.371573,-57.858936
-13.371573,-57.856691
-13.371573,-57.854446
-13.371573,-57.852201
-13.371573,-57.849956
-13.371573,-57.847711
-13.371573,-57.845466
-13.371573,-57.843221
-13.371573,-57.840976
-13.371573,-57.829751
-13.369328,-57.867916
-13.369328,-57.861181
-13.369328,-57.858936
-13.369328,-57.856691
-13.369328,-57.854446
-13.369328,-57.852201
-13.369328,-57.847711
-13.369328,-57.845466
-13.369328,-57.843221
-13.369328,-57.840976
-13.369328,-57.831996
-13.369328,-57.829751
-13.369328,-57.827506
-13.367083,-57.861181
-13.367083,-57.858936
-13.367083,-57.856691
-13.367083,-57.845466
-13.367083,-57.843221
-13.367083,-57.840976
-13.367083,-57.834241
-13.367083,-57.831996
-13.367083,-57.829751
-13.367083,-57.827506
-13.364838,-57.845466
-13.364838,-57.843221
-13.364838,-57.840976
-13.364838,-57.834241
-13.364838,-57.831996
-13.364838,-57.829751
-13.364838,-57.827506
-13.362593,-57.843221
-13.362593,-57.840976
-13.362593,-57.834241
-13.362593,-57.831996
-13.362593,-57.829751
-13.362593,-57.827506
-13.360348,-57.834241
-13.360348,-57.831996
-13.360348,-57.829751
-13.277283,-58.031801
-13.277283,-58.029556
-13.277283,-58.027311
-13.277283,-58.025066
-13.277283,-58.016086
-13.277283,-58.013841
-13.275038,-58.029556
-13.275038,-58.027311
-13.275038,-58.025066
-13.275038,-58.022821
-13.275038,-58.013841
-13.275038,-58.011596
-13.272793,-58.025066
-13.272793,-58.022821
-13.272793,-58.020576
-13.272793,-58.011596
-13.270548,-58.020576
-13.270548,-58.018331
-13.270548,-58.009351
-13.263813,-58.016086
-13.263813,-58.013841
-13.263813,-57.995881
-13.261568,-58.016086
-13.261568,-58.013841
-13.261568,-58.004861
-13.261568,-57.995881
-13.259323,-58.013841
-13.259323,-58.011596
-13.259323,-58.002616
-13.259323,-57.993636
-13.257078,-57.993636
-13.133603,-58.000371
